state,district,enrol_total_vol,enrol_stability,bio_total_vol,bio_stability,demo_total_vol,enrol_child_sum,bio_child_sum,health_index,cluster,risk_category
Odisha,Kendrapara *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Critical Risk
NCT Of Delhi,North East   *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Critical Risk
Jammu And Kashmir,punch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Critical Risk
Uttar Pradesh,Auraiya *,0.0,0.0,1.0,10.0,0.0,0.0,1.0,9.506471530494385e-06,1,Critical Risk
Odisha,Anugul  *,0.0,0.0,1.0,10.0,0.0,0.0,0.0,9.506471530494385e-06,1,Critical Risk
Odisha,Khordha  *,0.0,0.0,1.0,10.0,0.0,0.0,0.0,9.506471530494385e-06,1,Critical Risk
Odisha,BALANGIR,0.0,0.0,1.0,10.0,0.0,0.0,0.0,9.506471530494385e-06,1,Critical Risk
Uttar Pradesh,Mahoba *,0.0,0.0,1.0,10.0,0.0,0.0,0.0,9.506471530494385e-06,1,Critical Risk
Jammu And Kashmir,?,0.0,0.0,1.0,10.0,0.0,0.0,0.0,9.506471530494385e-06,1,Critical Risk
Jammu & Kashmir,Bandipur,0.0,0.0,1.0,5.0,0.0,0.0,0.0,9.506471530494385e-06,1,Critical Risk
Jammu And Kashmir,udhampur,0.0,0.0,1.0,10.0,0.0,0.0,0.0,9.506471530494385e-06,1,Critical Risk
Haryana,Akhera,0.0,0.0,1.0,10.0,0.0,0.0,0.0,9.506471530494385e-06,1,Critical Risk
Uttar Pradesh,Gautam Buddha Nagar *,0.0,0.0,2.0,10.0,0.0,0.0,0.0,1.901294306098877e-05,1,Critical Risk
Jharkhand,Bokaro *,0.0,0.0,3.0,2.937518414544409,0.0,0.0,1.0,2.8519414591483156e-05,1,Critical Risk
West Bengal,Burdwan,0.0,0.0,5.0,3.130712603252105,0.0,0.0,1.0,4.753235765247193e-05,1,Critical Risk
Pondicherry,Cuddalore,0.0,0.0,6.0,7.727272727272727,0.0,0.0,0.0,5.703882918296631e-05,1,Critical Risk
Odisha,Balianta,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.540324583944256e-05,1,Critical Risk
Nagpur,Near Uday nagar NIT garden,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.540324583944256e-05,1,Critical Risk
Puttenahalli,5th cross,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.540324583944256e-05,1,Critical Risk
Telangana,Medchalâmalkajgiri,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.540324583944256e-05,1,Critical Risk
Uttar Pradesh,Chitrakoot *,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.540324583944256e-05,1,Critical Risk
Uttar Pradesh,Jyotiba Phule Nagar *,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.540324583944256e-05,1,Critical Risk
Odisha,Bhadrak(R),0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.540324583944256e-05,1,Critical Risk
Raja Annamalai Puram,Near Dhyana Ashram,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.540324583944256e-05,1,Critical Risk
Jammu And Kashmir,Bandipur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.540324583944256e-05,1,Critical Risk
Maharashtra,Dist : Thane,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.540324583944256e-05,1,Critical Risk
Uttar Pradesh,Chandauli *,0.0,0.0,1.0,5.0,1.0,0.0,0.0,7.490971736993694e-05,1,Critical Risk
West Bengal,east midnapore,0.0,0.0,1.0,10.0,1.0,0.0,0.0,7.490971736993694e-05,1,Critical Risk
Pondicherry,Viluppuram,0.0,0.0,8.0,8.514568548894944,0.0,0.0,3.0,7.605177224395508e-05,1,Critical Risk
Jammu & Kashmir,Pulwama,0.0,0.0,2.0,5.0,1.0,0.0,1.0,8.441618890043133e-05,1,Critical Risk
Odisha,NAYAGARH,0.0,0.0,9.0,4.8355197185549965,0.0,0.0,1.0,8.555824377444946e-05,1,Critical Risk
Karnataka,Udupi *,0.0,0.0,3.0,5.0,1.0,0.0,2.0,9.392266043092573e-05,1,Critical Risk
